Fraudolent,SMS_test,ID,Date and Time
0,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,1EWYRBL,2017-12-02
0,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ZY4PDK7,2018-03-23
0,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?,KLUX2C6,2016-10-29
0,Mm have some kanji dont eat anything heavy ok,955HXJ0,2018-04-12
0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,00Q6EUC,2016-08-01
0,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,47ON101,2016-09-18
0,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",UJ692M7,2018-04-18
0,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,08XXXAW,2017-03-15
0,Dear good morning now only i am up,CH1OYGS,2018-02-06
0,I'm in chennai velachery:),QM6013N,2016-07-31
0,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,G1HE5A3,2017-03-01
0,No other Valentines huh? The proof is on your fb page. Ugh I'm so glad I really DIDN'T watch your rupaul show you TOOL!,D02R1ZV,2017-07-30
0,I'm wif him now buying tix lar...,OLMS6P8,2018-01-12
0,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",DUU34P2,2016-04-05
1,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",GE34AAU,2017-08-27
0,"Sir, i am waiting for your call.",DMASAQT,2017-09-03
0,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,7WS4YVP,2017-08-30
0,Hey now am free you can call me.,TPJV7DD,2018-07-03
0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",REEGFC7,2017-10-30
0,Then u go back urself lor...,6XIRK9L,2017-11-19
0,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",TO2SEPI,2016-11-18
0,Customer place i will call you,ZJPRLY6,2016-11-16
0,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,R97GREV,2016-05-30
0,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",2P0OXLQ,2017-05-08
1,"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",5FVO6NK,2016-02-27
0,K..k.:)congratulation ..,67KYC6X,2017-03-05
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,XAG74L4,2017-07-03
0,"Gud gud..k, chikku tke care.. sleep well gud nyt",YEJL1N4,2017-02-06
0,Ü give me some time to walk there.,K34VNIS,2016-04-19
0,Wat ü doing now?,QJ1UZIH,2017-08-16
0,"Doing nothing, then u not having dinner w us?",RO0QKMG,2017-09-19
0,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",VEWOE19,2017-07-03
0,Is xy going 4 e lunch?,H471WUH,2016-10-26
0,Can you pls send me that company name. In saibaba colany,2F5GR97,2018-01-28
0,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,J1TSIT4,2018-08-02
0,Morning only i can ok.,5L8WYTU,2016-06-30
0,Yeah it's jus rite...,ST0AV79,2018-03-13
0,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...,FJTUA0Q,2017-08-12
0,"Aight, we'll head out in a few",5PEAQY3,2017-05-11
0,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",WHYP8WL,2018-03-14
1,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,54T4RQ4,2016-03-31
0,Jus finish blowing my hair. U finish dinner already?,285QSO5,2016-07-29
0,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ZHAEF31,2016-12-14
0,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,3ZCM59L,2017-09-19
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,IP3Q1JN,2017-03-27
0,I anything lor.,RFZCTA2,2017-05-12
0,I'll text now! All creepy like so he won't think that we forgot,LWTRD8O,2017-01-30
1,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,H14FZZZ,2016-08-15
0,You'd like that wouldn't you? Jerk!,84K3E71,2018-04-03
0,I am in office:)whats the matter..msg me now.i will call you at break:).,COT5BVM,2017-02-22
0,You best watch what you say cause I get drunk as a motherfucker,26AC92A,2016-04-07
1,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,NI5GMU6,2016-03-20
0,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.,FZF46SA,2017-06-19
0,"Nah can't help you there, I've never had an iphone",OKR4BAD,2018-08-29
0,Ok.,84Y5L4S,2016-10-05
0,Even if he my friend he is a priest call him now,78X3QC1,2017-01-25
0,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,XQ85FEJ,2018-07-04
0,Just seeing your missed call my dear brother. Do have a gr8 day.,2PPBBJW,2016-09-26
0,Free any day but i finish at 6 on mon n thurs...,T6TX48C,2018-01-30
0,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",E9VGYVR,2016-05-26
1,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,ZMSZ2ZL,2017-04-02
0,Wat time r ü going to xin's hostel?,ZVWY6KY,2016-08-25
1,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,L9QE216,2018-08-31
0,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",S9NNIC9,2018-04-18
0,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",ORKVCI2,2016-11-30
0,Annoying isn't it.,RZZTJN1,2016-12-07
0,I went to project centre,4I68T6E,2017-10-02
0,Roger that. We‘re probably going to rem in about 20,5I2HNJA,2018-07-06
0,Lol they don't know about my awesome phone. I could click delete right now if I want.,9ZML4ZA,2018-06-06
0,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D",8NAZ50T,2018-03-16
1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",64UXIMD,2017-09-05
